City,Feb_1_15,June_1_15,Oct_1_15,Feb_1_16,June_1_16,Oct_1_16,Feb_1_17,latitude,longitude
Anchorage,2.463,3.283,2.471,2.09,2.534,2.49,2.208,61.2175598,-149.8583832
Phoenix,2.121,2.746,2.172,2.09,2.534,2.49,2.603,33.4482498,-112.075798
Los Angeles,2.212,2.746,2.172,1.529,2.209,2.124,2.121,34.0534897,-118.2453232
Denver,3.001,3.675,3,2.467,2.905,2.841,2.909,39.7400093,-104.9923019
Washington DC,2.098,2.61,2.259,1.544,2.226,2.126,2.118,38.8903694,-77.0319595
Miami,2.409,2.774,2.268,1.837,2.394,2.323,2.388,25.7748108,-80.197731
Atlanta,2.259,2.805,2.153,1.655,2.258,2.295,2.199,33.7483101,-84.3911133
Honolulu,2.943,3.276,2.733,2.384,2.551,2.755,2.983,21.3048496,-157.8577576
Chicago,2.518,3.21,2.661,1.78,2.723,2.402,2.403,41.8842506,-87.6324463
Detriot,2.255,2.875,2.388,1.648,2.569,2.217,2.204,42.3316803,-83.0479965
San Fran,2.944,3.622,2.981,2.499,3.012,2.924,2.958,37.7771187,-122.4196396
New York City,2.48,3.021,2.484,2.004,2.535,2.446,2.624,40.7820015,-73.8317032
Houston,2.075,2.531,1.974,1.499,2.123,2.009,2.077,29.7604504,-95.3697815
Dallas,2.162,2.68,2.037,1.549,2.19,2.038,2.095,32.7781487,-96.7954025
Seattle,2.532,3.164,2.584,2.126,2.678,2.759,2.788,47.603569,-122.3294525
